50058150,50005932,DR,00f0f194effceae086d45ea0962fc46d,50068334
50058151,50005933,DR,7fc47a29fd83f5588b5eb8d0563f844c,50068335
50058152,50005934,DR,df285a52e403ab27adf6032b79968089,50068336
50058153,50005935,DR,e1e5f9c3a1fdd270aef9d736850f36cc,50068337
50058154,50005936,DR,b48a38bff3369461b00b6e1a26c3b7ad,50068338
50058155,50005937,DR,bc5a2020463c725580a79cc33ea3325d,50068339
50058156,50005938,DR,b01d847aa09d7b9b034252bec56164a7,50068340
50058157,50005939,DR,7e1361d6fd8a5fd1b146bdcddb1d45a4,50068341
50058158,50005940,DR,951465dd78d692eb9ea405a456eb2da3,50068342
50058159,50005941,DR,23e044d47a85b4e48f275750b809c01c,50068343
50058160,50005942,DR,8077aa30127020f7f16cdf64c2109120,50068344
